Record ID,AIM - Actionability Date,AIM - Company Notes,AIM - Direct Relationship,AIM - EBITDA Estimate,AIM - Ranking,AIM - Revenue Estimate,AIM - Top Prospect,Pipeline Opportunity,Company name,Company owner,AIM - Next Touch Date,AIM - Actionable Date,State/Region,City,Description,AIM - Known Ranking,FTE,Create Date,Last Modified Date,Associated Company,Associated Company IDs
10263546454,,,,,,,,,"Hubspot, Inc.",,,,NY,,"HubSpot is an American developer and marketer of software products for inbound marketing, sales, and customer service.",,,2022-12-06 15:36,2024-01-12 15:55,,
10263373883,,,,,,,,,Cosine,,,,CA,Manhattan Beach,"The Cosine Group - Advising DisruptionProviding Investment Banking and Strategic Advisory Services for Early and Growth Stage Technology Companies. Founded and Operated by Team With Deep Industry Expertise in Digital Media, Mobile, SaaS, Enterprise Software and Financial Technology.Securities offered by Armory Securities, LLC",,,2022-12-06 15:36,2024-01-12 19:52,,
10263402665,,"Most likely too small without an add-on acquisition due to 2022 revenue, $65M post money on last round in 2019.",,,B,,,,Needham & Company,Jeffrey Bumb,,,NY,New York,"Energy information services, Digital project orchestration platform",,,2022-12-06 15:36,2024-01-26 11:25,,
10263409691,,,,,,,,,Stonepine Advisors,,,,CA,Palo Alto,"Stonepine Advisors is a software and cybersecurity focused investment bank providing financing, M&A advisory and strategic consulting services to emerging and mid-sized growth We bring more than than 75 years of combined Wall Street experience and hav...",,,2022-12-06 15:36,2023-12-15 09:47,,
10263473503,,,,,,,,,Seabrook Partners LLC,,,,MD,North Bethesda,Seabrook Partners LLC is an independent investment bank that provides strategic advisory services to growing middle market companies.,,,2022-12-06 15:36,2023-12-15 09:47,,
10263517498,,,,,,,,,"Horn Capital Realty, Inc",,,,FL,Surfside,"Horn Capital Realty, Inc. specializes in the acquisition/disposition of triple net lease properties, sale leaseback financing, build-to-suit development, venture capital and fundraising.",,,2022-12-06 15:36,2023-12-15 09:47,,
10263511103,,,,,,,,,Bank of Montreal,,,,Québec,Montréal,"BMO U.S. Personal & Business Banking, Lending & Investing We're here to help! BMO offers a wide range of personal and business banking services, including bank accounts, mortgages, credit cards, loans and more. We’re here to help for all life’s moments...",,,2022-12-06 15:36,2024-02-01 16:04,,
10263395662,,,,,,,,,Silverwood Partners,,,,MA,Sherborn,"Silverwood Partners is a specialized investment bank that provides mergers & acquisitions and private placement advisory services to information technology, communications technology, consumer products, business services and healthcare companies.",,,2022-12-06 15:36,2024-01-04 06:25,,
10263409692,,,,,,,,,360 Advisory,,,,FL,Tampa,,,,2022-12-06 15:36,2023-12-15 09:47,,
10263450882,,,,,,,,,Burke Advisors,,,,UT,Park City,,,,2022-12-06 15:36,2023-12-15 09:47,,
10263517499,,,,,,,,,Architect Partners,,,,CA,Palo Alto,"Delivering outstanding results requires senior leadership and relentless focus. Architect helps leading companies successfully raise strategic capital and execute premium value mergers and acquisitions, all with the goal to win in the marketplace.",,,2022-12-06 15:36,2023-12-15 09:47,,
10263525008,,,,,,,,,Sapient Capital Partners,,,,Ontario,Toronto,Private tech company shareholder value--work long & hard for it. Twice told I was smarter than Elon Musk. (LEGAL DISCLAIMER: Probably not.) Unblink3D's yoda.,,,2022-12-06 15:36,2024-02-01 16:15,,
10263546455,,,,,,,,,Sampford Advisors,,,,TX,Austin,"We exclusively focus on advising mid-market technology companies on all their mergers and acquisitions (M&A) needs. Our clients are Canadian (Toronto, Montreal, Ottawa, Calgary, Vancouver, Atlantic Canada) and US (out of our Austin office)",,,2022-12-06 15:36,2024-01-30 10:59,,
12382248813,2023 - 1H,"Growing 50% annually, open to a control deal, no banker engaged.",Yes,,C,9,,No,AgriWebb,Josh Ruder,,,Victoria,Windsor,Livestock and farm management software solution.,,76,2022-12-06 15:36,2024-01-16 09:55,,
10263417249,,,,,,,,,Whitehawk Advisory,,,,TX,Austin,"Whitehawk Advisory is a Texas-based investment banking, growth advising, and valuation services firm for middle-market companies across tech and all industries. They have been advising business owners and management teams on M&A, recapitalization, and ...",,,2022-12-06 15:36,2024-01-31 14:58,,
10263450883,,,,,,,,,Viant Capital,Josh Ruder,,,CA,San Francisco,"Viant Group is a boutique investment bank that provides merger and acquisition and capital raising services to emerging, high growth companies in various sectors including technology, green/clean technology, health care services, consumer products, sof...",,,2022-12-06 15:36,2024-01-30 13:16,,
10263395663,,,,,,,,,Bowstring Advisors,,,,RI,Providence,"Bowstring Advisors is an investment bank providing M&A services to the Human Capital Management, Industrial Services, Healthcare Services, IT & Professional Services and Software industries in the middle-market. Offices in Atlanta, Boston and Los Angeles.",,,2022-12-06 15:36,2023-12-15 09:47,,
10263426233,,,,,,,,,Atlas Tech,,,,CA,San Francisco,"Atlas Technology Group has served as the advisor of choice on a variety of types of technology transactions; they hold particularly strong expertise in providing sell-side advisory services within the global, software sector. The group is comprised of ...",,,2022-12-06 15:36,2024-01-31 17:22,,
10263435150,,,,,,,,,Steelhead Advisors,,,,CA,San Francisco,"Steelhead Advisors LLC provides sound financial advisory and investment banking services to emerging technology companies in the areas of communications, networking, software, and semiconductors. The advice we give draws from our extensive experience working with private companies at various stages of their development and in dynamic economic conditions. Steelhead Advisors is a business partner for board members and management teams looking to develop a long-term advisory relationship and receive proactive and insightful guidance from a team of professionals dedicated to client service. To learn more about our qualifications, industry relationships and recently completed client engagements, please email us at info@steelheadadvisors.com.",,,2022-12-06 15:36,2024-01-16 10:52,,
10263539090,,,,,,,,,Integrity Square,,,,NY,New York,"Our mission is to advise, connect, and empower fast growing companies, exceptional entrepreneurs, seasoned executives, and capital providers involved in the Health, Active Lifestyle, and Outdoors (HALO) sector.",,,2022-12-06 15:36,2024-02-01 17:04,,
10263473504,,,,,,,,,Pax Capital Partners,,,,CA,San Francisco,PAX Capital is a modern Investment Bank redefining how software businesses are bought and sold. Investment Banking investment banking capital raising m&a software investment bank private equity software m&a software acquisitions,,,2022-12-06 15:36,2024-02-01 16:54,,
10263546456,,,,,,,,,Ladenburg Thalmann,,,,FL,Miami,Ladenburg Thalmann Financial Services is a diversified financial services company with two primary business lines: independent brokerage and advisory and investment banking and capital markets.,,,2022-12-06 15:36,2024-01-21 12:08,,
10263553412,,,,,,,,,Falcon Investment Advisors,,,,MA,Boston,Falcon is a private equity firm which invests subordinated debt and equity capital in middle market companies.,,,2022-12-06 15:36,2023-12-15 09:47,,
10263539091,,,,,,,,,Uplift Partners,,,,IL,Chicago,"Empowering executives, business owners and private equity firms with acquisition strategy through integration",,,2022-12-06 15:36,2024-02-01 16:11,,
10263426304,,,,,,,,,SC&H Group,,,,,Romsey,"SC&H Group provides Management Consulting, Audit and Tax Services to modernize your business enterprise and individual financial health through powerful minds and passionate teams with proven results.",,,2022-12-06 15:36,2023-12-15 09:47,,
10263442609,,"JR to qualify, attending Jefferies Office of the CFO Summit on Sept. 26th 2023.",,,Not Interesting,,,No,Ontra,Josh Ruder,,,CA,San Francisco,"Developer of an online legal management platform intended to automate and enhance high-volume legal processes easily. The company's platform combines corporate attorneys with cloud-based software to offer a scalable, end-to-end service for negotiating and managing routine legal work, enabling clients to effectively free up resources, improve the quality of output, and achieve substantial cost savings.",,428,2022-12-06 15:36,2024-01-03 14:40,,
10263466558,,,,,,,,,LLR Partners,,,,PA,Philadelphia,"Looking for a private equity firm to help grow your technology or healthcare business? LLR is a flexible provider of capital for growth, recaps and buyouts.",,,2022-12-06 15:36,2023-12-15 09:47,,
10263517500,,,,,,,,,Ikona,,,,,,,,,2022-12-06 15:36,2024-01-31 11:31,,
10263532678,,,,,,,,,White Horse,,,,,,WhiteHorse Capital is a company that provides senior and second lien debt for middle market companies in the U.S. and Canada.,,,2022-12-06 15:36,2023-12-15 09:47,,
10263417250,,,,,,,,,Cherry Tree & Associates,,,,MN,Hopkins,Cherry Tree & Associates is a Minneapolis-based private investment banking firm with more than four decades of transaction experience. Our focus is Sell-Side and Buy-Side M&A engagements with middle market companies.,,,2022-12-06 15:36,2024-02-01 16:18,,
10263426305,,,,,,,,,"Citizens Financial Group, Inc.",,,,RI,Providence,"Citizens Financial Group, Inc. is a retail bank holding company. At Citizens, we recognize that the journey to accomplishment is no longer linear and that individuals are made of all they have done and all they are going to do. As one of the oldest and...",,,2022-12-06 15:36,2024-02-01 09:32,,
10263517501,,,,,,,,,Leonis Partners LLC,,,,NY,New York,Our highly experienced bankers leverage deep industry domain experience to provide unconflicted advice and customized solutions for entrepreneur-led technology businesses.,,,2022-12-06 15:36,2024-01-31 15:11,,
10263388057,,,,,,,,,RW. Baird,,,,WI,Milwaukee,"Baird is an employee owned wealth management, capital markets, asset management and private equity firm. Leveraging our deep expertise and broad skills, we're dedicated to providing the best advice and service to our individual, corporate, institutiona...",,,2022-12-06 15:36,2024-02-01 19:40,,
10263426306,,,,,,,,,Lincoln International,,,,IL,Chicago,Provider of patient acquisition software and services for ancillary care service healthcare facilities.,,,2022-12-06 15:36,2024-02-01 10:30,,
10263473505,,,,,,,,,PwC,,,,Comunidad de Madrid,Madrid,"PwC is a global network of firms providing audit and assurance, consulting, and tax services. With a community of solvers, PwC combines human ingenuity, experience, technology, and products to help organizations build trust and deliver sustained outcom...",,,2022-12-06 15:36,2024-02-01 17:54,,
10263504463,,,,,,,,,First Analysis,,,,IL,Chicago,"Research is the core of First Analysis, driving value for emerging growth companies, established industry leaders, and institutional investors.",,,2022-12-06 15:36,2024-01-30 08:10,,
10263562036,,,,,,,,,Nfluence Partners,,,,CA,San Francisco,"Transact intelligently with Nfluence Partners, a boutique Investment Bank built for technology, media and telecom mergers, acquisitions and capital formation.",,,2022-12-06 15:36,2024-01-31 11:00,,
10263402666,,,,,,,,,Zetta Venture Partners,,,,,,"Founded in 2013, Zetta Venture Partners is the first fund focused on intelligent enterprise software and has $160 million under management. Current portfolio companies include Appdiff, Clearbit, Domo, Domino Data Lab, EventBoard, Focal Systems, InsideSales, Kaggle, Lilt, Lucid Design Group and Tractable.",,,2022-12-06 15:36,2023-12-15 09:47,,
10263488937,2024 - 1H,MK to have follow up call with CEO Paul,Yes,,B,8,,Yes,ASC,Matt Klein,2024-01-01,,WA,Seattle,"Author-it Software Corp. (ASC) is a Software Development. It also provides enterprise software for authoring, content management, publishing, localization, and more.",,42,2022-12-06 15:36,2023-12-15 09:47,,
10263365506,,,,,,,,,J.P. Morgan & Co.,,,,NY,New York,"J.P. Morgan is a global financial services firm that offers solutions to clients in more than 100 countries. They provide a comprehensive range of products and services in asset management, private banking, commercial banking, and the corporate and inv...",,,2022-12-06 15:36,2024-01-31 17:48,,
10263539092,,,,,,,,,Moelis & Company,,,,Hong Kong Island,,"Moelis & Company is a leading global independent investment bank that provides innovative strategic advice and solutions to a diverse client base, including corporations, governments, and financial sponsors. The Firm assists its clients in achieving th...",,,2022-12-06 15:36,2024-02-01 17:05,,
10263450884,,,,,,,,,AS1 Growth Partners,,,,,,,,,2022-12-06 15:36,2023-12-15 09:47,,
10263388058,,,,,,,,,The Oxbridge Group,,,,NY,New York,"The Oxbridge Group is an executive search firm for investment professionals. We recruit for Private Investment, Hedge Fund, & Corporate.",,,2022-12-06 15:36,2024-02-01 17:47,,
10263562037,,,,,,,,,Saratoga Partners,,,,NY,New York,,,,2022-12-06 15:36,2024-02-01 17:00,,
10263417251,,,,,,,,,Kirkland & Ellis LLP,,,,IL,Chicago,"Kirkland & Ellis is a global law firm that serves a broad range of clients in corporate transactions, litigation, restructurings and intellectual property matters. As one of the world’s leading law firms, we serve a broad range of clients with market l...",,,2022-12-06 15:36,2023-12-22 08:32,,
10263365507,,,,,,,,,Cascadia Capital,,,,WA,Seattle,"Cascadia Capital is a middle market investment bank that provides M&A, corporate finance, and strategic advisory services to private and public growth companies around the globe.",,,2022-12-06 15:36,2024-01-30 11:09,,
10263409696,,,,,,,,,Texas Capital Bank,Josh Ruder,,,TX,Dallas,"Texas Capital Bank is a trusted financial institution focused on serving businesses and their leaders. We deliver highly personalized financial services to businesses, the individuals and families who run them, and other members of our communities. Our...",,,2022-12-06 15:36,2024-01-23 08:20,,
10263458670,,,,,,,,,firlinecapital.com,,,,,,,,,2022-12-06 15:36,2023-12-15 09:47,,
10263525009,,,,,,,,,Colonnade Advisors LLC,,,,IL,Chicago,Colonnade Advisors is an investment banking firm that specializes in merger and acquisition advisory services for clients in the financial services and business services sectors.,,,2022-12-06 15:36,2023-12-15 09:47,,
10263409695,,,,,,,,,Cantor Fitzgerald,,,,NY,New York,"Cantor Fitzgerald is a leading global financial services firm, serving clients from over 30 offices around the world. Founded in 1945 as a securities brokerage and investment bank, the firm pioneered computer based bond trading, built one of the broade...",,,2022-12-06 15:36,2024-01-30 14:43,,
10263539093,,Exclusive at $32M purchase price with + $5M cash to BS.,,,,,,,BRYJ,,,,,,Mobile application development software and service provider for consumer-facing brands.,,,2022-12-06 15:36,2023-12-15 09:47,,
10263562038,,,,,,,,,Vaquero Capital,,,,CA,San Francisco,"Vaquero Capital is a merchant banking and advisory firm that is focused on serving entrepreneurs and investors in rapidly growing businesses that have exceptional profit potential. Our mission is to provide superior positioning, process and execution f...",,,2022-12-06 15:36,2024-02-01 09:06,,
10263473507,,,,,,,,,Union Square Advisors,,,,CA,San Francisco,Union Square Advisors is a technology-focused investment bank offering strategic mergers & acquisitions and private capital financing.,,,2022-12-06 15:36,2024-01-31 17:46,,
10264501509,,,,,,,,,Capstone,,,,MA,Boston,,,,2022-12-06 15:36,2024-02-01 15:46,,
10263496307,,,,,,,,,Alter Domus,,,,District de Luxembourg,Luxembourg,"We are a leading global provider of Corporate and Fund Services, dedicated to private equity, real estate, multinationals and private clients.",,,2022-12-06 15:36,2023-12-15 09:47,,
10263496308,,Had mgmt call.,Yes,,A,,,,Scale Computing,Matt Klein,,,IN,Indianapolis,Developer of data storage platform designed to automate data management for edge computing.,,,2022-12-06 15:36,2024-01-19 10:38,,
10263517502,,,,,,,,,Ziegler,,,,IL,Chicago,"Ziegler is a privately held investment bank, capital markets, wealth management and proprietary investments firm. Specializing in the healthcare, senior living, education and religion sectors, as well as general municipal and structured finance, enable...",,,2022-12-06 15:36,2024-01-19 16:48,,
10271492205,,,,,,,,,Bank of America,,,,NC,Charlotte,"Bank of America is a global banking and financial services company that offers a wide range of products and services. They provide lending and other commercial banking activities, as well as trading in certain financial instruments. Additionally, they ...",,,2022-12-06 15:36,2024-02-01 17:48,,
10263417252,,,,,,,,,KeyBanc,,,,OH,Cleveland,"KeyBank is a bank holding company that offers a range of retail and commercial banking, commercial leasing, investment management, consumer finance, and investment banking products and services. Through its subsidiary, KeyBank National Association, it ...",,,2022-12-06 15:36,2024-02-01 20:59,,
10263481260,,,,,,,,,Cowen,,,,NY,New York,"TD Cowen is a leading full-service investment bank that offers comprehensive investment banking services, including equity, equity-linked, and debt financings, as well as mergers and acquisitions advisory services. With over 100 years of experience, TD...",,,2022-12-06 15:36,2024-02-01 13:45,,
10263417253,,,,,,,,,Stifel Financial Corp.,,,,MO,St. Louis,"Stifel Financial is a full-service brokerage and investment banking firm that provides securities brokerage, investment banking, trading, investment advisory, and related financial services. They serve individual investors, professional money managers,...",,,2022-12-06 15:36,2024-02-01 18:51,,
10263435151,,,,,,,,,Keystone Capital Markets,,,,CA,Irvine,"Keystone Capital Markets is an investment bank that provides M&A, capital raise, and advisory services to middle market companies.",,,2022-12-06 15:36,2023-12-18 07:55,,
10262249329,,,,,,,,,Bridge Bank,,,,AZ,Phoenix,"Western Alliance Bancorporation is a top performing banking company that offers a wide range of commercial and business banking solutions including loans, lines of credit, and more.",,,2022-12-06 15:36,2023-12-15 09:47,,
10263466559,,,,,,,,,Wedbush Securities,,,,CA,Los Angeles,"Wedbush Securities is a leading West Coast firm that provides clients with a wide range of securities brokerage, wealth management, and investment banking services. With a history dating back to 1955, Wedbush is committed to helping clients achieve the...",,,2022-12-06 15:36,2023-12-15 09:47,,
10263381166,,,,,,,,,DC Advisory,,,,Greater London,London,DC Advisory is an international investment bank committed to making a difference. We believe in delivering the Right Advice™ in every situation. We recognize that every client and every transaction is unique. Our platform is unique to the market with o...,,,2022-12-06 15:36,2024-02-01 17:09,,
10263504465,,,,,,,,,Houlihan Lokey,,,,CA,Los Angeles,"Houlihan Lokey is a global investment bank that specializes in mergers and acquisitions, capital markets, financial restructuring, and financial and valuation advisory. They provide independent advice and intellectual rigor to corporations, institution...",,,2022-12-06 15:36,2024-02-01 19:14,,
10263481261,,,,,,,,,Avendus,,,,Maharashtra,Mumbai,"Avendus Capital is a financial services firm in India that offers bespoke solutions in the areas of asset management, credit solutions, investment banking and wealth management.",,,2022-12-06 15:36,2023-12-15 09:47,,
10263511105,,,,,,,,,G2 Capital Advisors,,,,MA,Boston,"G2 Capital Advisors is an integrated multi-product, industry-focused investment bank and restructuring advisor creating bespoke solutions for our corporate and investor clients. G2 Capital Advisors provides C-level executive-led investment banking and ...",,,2022-12-06 15:36,2024-01-30 12:16,,
10262249330,,,,,,,,,Montminy Securities LLC,,,,CA,Santa Monica,Montminy & Co. is a boutique investment bank providing middle market clients with the highest level of strategic and financial advisory services,,,2022-12-06 15:36,2024-02-01 15:40,,
10263481262,,,,,,,,,Greenberg Advisors,,,,MD,Rockville,"“Your years of sector-specific experience were evident in your approach, and enabled us to quickly yet thoroughly assess a potential transaction from a financial, operational, and strategic perspective.”",,,2022-12-06 15:36,2024-01-04 05:49,,
10263442611,,,No,,,,,No,America's Growth Capital,,,,MA,Boston,"Since AGC Partners' inception in 2003, we have completed over 299 technology M&A and growth equity transactions. Our continued passion is to discover and work with exciting emerging growth companies, helping them to achieve their vision, which we accom...",,101,2022-12-06 15:36,2024-02-01 16:37,,
10263473508,,,,,,,,,convenio.io,,,,,,,,,2022-12-06 15:36,2023-12-15 09:47,,
10262249331,,,,,,,,,Progress Partners,,,,MA,Boston,"Progress Partners is a Boston and New York-based investment bank and corporate advisory firm that works with buyers and sellers of emerging growth companies to complete M&A or private placement transactions. Our deep industry experience, exten...",,,2022-12-06 15:36,2024-01-23 12:30,,
10263511106,,,,,,,,,JMP,,,,CA,San Francisco,Financial Sponsors and Corp. Dev to meet with Senior Executives,,,2022-12-06 15:36,2024-01-09 10:15,,
10263517503,,,,,,,,,Latham & Watkins,,,,NY,New York,"Latham & Watkins LLP is a global law firm that advises businesses and institutions in the global economy. With over 2,400 lawyers in offices around the world, Latham & Watkins offers a full range of legal services in transactional, corporate, litigatio...",,,2022-12-06 15:36,2024-01-23 08:16,,
12378890580,2024 - 1H,"Liquidity driven recap for no longer involved founder and Crosslink. Business looking for new partner who understands EHS/QMS space, and would like to explore for M&A.",Yes,,Not Interesting,,,No,DevonWay,Matt Klein,,,CA,San Francisco,"DevonWay, Inc. is a company that provides a cloud-hosted enterprise web and mobile application that helps organizations manage assets, work, quality, and safety programs, and derive insights from the collected data. Its products include project tracking, risk management, business intelligence, KPI collection and automation, compliance tracking, audits and assessments, incident management, document management, supplier management, work planning, and more. The company serves energy, oil and gas, nuclear, renewables, engineering and construction, government and national lab, biotechnology and pharmaceutical, and high-risk manufacturing industries.",,90,2022-12-06 15:36,2024-01-10 15:10,,
10263381167,,,,,,,,,Traction Advising M&A,,,,WA,Seattle,Traction Advising employs former founder/CEO's to provide strategy and M&A advising for growth stage software companies,,,2022-12-06 15:36,2024-01-30 08:26,,
10263553413,,,,,,,,,Imperial Capital,,,,CA,Los Angeles,Imperial Capital is an investment bank that offers institutional sales and investment banking advice.,,,2022-12-06 15:36,2024-01-31 17:43,,
10262249332,,,,,,,,,DA Davidson & Co.,,,,WA,Redmond,"Design & Development Company is a privately owned entity which provides complete integrated engineering, consultancy design & studies services, project management, site supervision, testing, commissioning, inspection, power quality measurements, energy...",,,2022-12-06 15:36,2024-01-29 14:01,,
10263511107,,,,,,,,,MidMarket Capital,,,,IL,Hinsdale,"MidMarket Capital Advisors, LLC is a merger & acquisition advisory firm focused on providing strategic advice & transaction services middle-market companies.",,,2022-12-06 15:36,2023-12-15 09:47,,
10263588278,,,,,,,,,William Blair,,,,IL,Chicago,"William Blair is the premier global boutique with expertise in investment banking, investment management, and private wealth management. We provide advisory services, strategies, and solutions to meet our clients’ evolving needs.",,,2022-12-06 15:51,2024-02-01 14:05,,
10263501494,,,,,,,,,DH Capital,,,,NY,New York,"DH Capital is a private investment banking partnership founded in 2001 and serves the media, Internet and telecommunications industries. We’re the leading advisor to the data center and managed hosting sectors, having completed over 210 transactions to...",,,2022-12-06 15:51,2023-12-15 09:47,,
10264493071,,,,,,,,,Oaklins,Josh Ruder,,,NY,New York,"By selling, buying and merging businesses through both domestic and cross-border M&A deals, we are determined to help our clients reach their full potential.",,,2022-12-06 15:51,2023-12-15 09:47,,
10263567253,,,,,,,,,Kroll,,,,NY,New York,"Kroll is the leading global provider of risk solutions. For more than 40 years, Kroll has helped clients make confident risk management decisions about people, assets, operations, and security through a wide range of investigations, cyber security, due...",,,2022-12-06 15:51,2024-01-30 12:06,,
10264590379,,,,,,,,,GrowthPoint,,,,CA,Menlo Park,GrowthPoint Technology Partners is a technology investment bank that provides financial and M&A advisory services to technology companies. Expertise & Experience GrowthPoint Technology Partners provides M&A and financial advisory services to technology companies around the...,,,2022-12-06 15:51,2024-01-08 16:17,,
10264487011,,,,,,,,,Q Advisors LLC,,,,CO,Denver,"Q Advisors is a world-class global boutique investment bank serving public and private companies, PE firms, entrepreneurs and large multi-nationals in the telecom, media, and technology (TMT) secto...",,,2022-12-06 15:51,2024-01-30 09:06,,
10263447418,,,,,,,,,Intrepid,,,,CA,Los Angeles,"Intrepid Investment Bankers provides Mergers & Acquisitions, capital raising, and strategic advisory services to entrepreneurs and middle-market companies in various industry sectors ...",,,2022-12-06 15:51,2024-02-01 16:37,,
10264581931,,,,,,,,,Evolve Capital,,,,,,,,,2022-12-06 15:51,2023-12-15 09:47,,
10264548982,,,,,,,,,Triple Tree,,,,MN,Edina,"We are a trusted partner for mergers and acquisitions, recapitalizations, growth capital, and strategic advisory services.",,,2022-12-06 15:51,2024-02-01 07:08,,
10264501504,,,,,,,,,JD Merit & Company,,,,WA,Gig Harbor,JD Merit is a boutique investment bank with the proven M&A experience and tenacity to help our clients WIN. Learn why the JD Merit process improves seller outcomes.,,,2022-12-06 15:51,2024-01-16 14:03,,
10264531536,,,,,,,,,Lazard,,,,,Hamilton,"Lazard is one of the most respected names in global financial services, standing for excellence, integrity and innovation on behalf of clients. Founded in 1848, today our mission remains the same: To provide sophisticated and differentiated advice and ...",,,2022-12-06 15:51,2024-01-31 11:30,,
10263516085,,,,,,,,,85 ADVISORS,,,,NY,New York,"85 Advisors is a strategic and financial advisory firm that helps technology companies plan, analyze and execute successful growth, financing, and M&A strategies.",,,2022-12-06 15:51,2023-12-15 09:47,,
10264565394,,,,,,,,,Marathon Capital,,,,IL,Chicago,"Marathon Capital is the leader in financing energy projects in the USA and Canada with a focus on renewable energy, global energy and infrastructure markets.",,,2022-12-06 15:51,2024-01-22 16:57,,
10262254359,,,,,,,,,American Discovery Capital,,,,CA,Santa Monica,American Discovery Capital is an independent merchant banking firm focused on principal investments in leading family-owned and middle-market companies in selected high-growth sectors.,,,2022-12-06 15:51,2023-12-15 09:47,,
10263573777,,,,,,,,,Vista Point Advisors,,,,CA,San Francisco,Vista Point Advisors is a boutique investment bank in San Franciso that represents founder-led software & internet businesses providing M&A and capital raising advice—exclusively on the sell-side.,,,2022-12-06 15:51,2024-01-26 10:30,,
10264531537,,Backed by management and VCs looking for a new partner to help with M&A.,,,B,,,,Shea & Co,,,,MA,Boston,Sentinel provides a digital evidence management platform providing digital evidence and daily operations for law enforcement and attorneys.,,,2022-12-06 15:51,2024-01-31 09:56,,
10264516384,,,,,,,,,KPMG International Cooperative,,,,,Toronto,"KPMG is a global network of professional firms providing Audit, Tax and Advisory services. We have 227,000 outstanding professionals working together to deliver value in 146 countries and territories. With a worldwide presence, KPMG continues to build ...",,,2022-12-06 15:51,2024-01-30 12:07,,
10264540981,,,,,,,,,Aeris Partners,,,,MA,Boston,"Aeris Partners provides M&A and growth equity advisory services to leading software, digital media, business information and technology-enabled services companies. Our partners are technology and M&A advisory experts averaging 20 years of experience, each with a distinguished track record of success. Clients value our ability to deliver exceptional valuations, terms and close rates. We have completed more than 175 technology M&A and growth equity transactions valued in excess of $18 billion. We are committed to delivering outstanding service and exceptional results for each client. Our approach has been developed and refined over many years and encompasses knowledge, process and people. Combined with longstanding industry relationships, we believe domain expertise, judgment and insight, and flawless execution are essential to delivering superior outcomes: Domain Expertise We leverage extensive domain expertise to assess, refine and articulate market and company dynamics, growth trends and value propositions to drive superior outcomes. We have developed domain expertise over years of M&A advisory, venture capital and software development experience and are passionate about technology.",,,2022-12-06 15:51,2024-01-26 14:24,,
10264487012,,,,,,,,,Castle Placement,,,,NY,New York,"Castle Placement is an investment bank raising private equity + venture capital, mezzanine, debt and loans for early stage to middle market companies.",,,2022-12-06 15:51,2023-12-15 09:47,,
